Temp;fitted;Species;Site;MHWDays;Year ;Size ;Impacted
27,3434;2,6581;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,3939;2,6788;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,4444;2,6967;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,4949;2,7111;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,5455;2,7211;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,596;2,726;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,6465;2,7252;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,697;2,718;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,7475;2,7036;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,798;2,6813;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,8485;2,6505;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,899;2,6104;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,9495;2,5605;Paramuricea;Pzzinu_par;NA;NA;NA;NA
28;2,5;Paramuricea;Pzzinu_par;NA;NA;NA;NA
22,5;;Paramuricea;Pzzu_par;NA;NA;NA;NA
23;83;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,0505;80,0255;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,101;77,125;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,1515;74,2976;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,202;71,5425;Paramuricea;Pzzu_par;43;2014;0,21;No
23,2525;68,8586;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,303;66,2452;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,3535;63,7012;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,404;61,2257;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,4545;58,8179;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,5051;56,4768;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,5556;54,2014;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,6061;51,9908;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,6566;49,8441;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,7071;47,7604;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,7576;45,7386;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,8081;43,778;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,8586;41,8775;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,9091;40,0362;Paramuricea;Pzzu_par;NA;NA;NA;NA
23,9596;38,2531;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,0101;36,5274;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,0606;34,858;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,1111;33,2441;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,1616;31,6846;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,2121;30,1787;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,2626;28,7254;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,3131;27,3237;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,3636;25,9727;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,4141;24,6715;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,4646;23,419;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,5152;22,2145;Paramuricea;Pzzu_par;NA;NA;NA;NA
24,5657;21,0568;Paramuricea;Pzzu_par;NA;NA;NA;NA
